document_id,clean_text,sentiment
1, purchas product advertis fulli unlock insert him card work contract servic provid check me number report still lock origin carrier condit couldn use servic provid ,negative
2, start that sad look like new ,negative
3, bought refurbish i m assum open box item seem 100brand recommend seller ,positive
4, phone initi bought one daughter end order one ,positive
5, scratch damag matter part happi took plung bought well worth far ,positive
6, capac 100 ,neutral
7, lock flicker get flurri everyth el seem fine tri start it work ,negative
8, honesti greatli appreci day deliv exactli promis arriv time look brand everyth work smoothli expect unfortun want thrill size alway like larger phone contract seller refund kindli instruct return item order get full refund back card far complaint definit busi peopl ,positive
9, look amazon renew phone coupl week skeptic order renew decid phone or saw phone 11 30 put procrastin order coupl hour partli review time decid go sinc could sent back check crack into day suppos deliv saw review post day becam concern made bad decis prepar disappoint arriv complet dead put charg didn t look like charg concern 30 minut enough power haven t issu far it bought brand cosmet flaw anywher plea far ,positive
10, doesn t work provid say realli wish i d paid star rate bought ,negative
11, pro condit well ,positive
12, son it realli unlock weird hardwar configur won t connect provid said horizon network bought could switch spring didn t work spring contract seller support gave lot thing tri tri long enough return window pas basic said bad ,negative
13, i d spend littl get properli return got anoth ,negative
14, order 500 it suppos renew fulli unlock upon receiv notic pit scratch back bigger sinc case upon instal him card exist boost phone wouldn t work said servic top corner went boost webster tri activ notic 449 decid send back order boost know won t issu transfer him card exist ,negative
15, amaz shape didn t come it origin box fine didn t come origin charg also okay still nice lengthi charg regardless 100 capac absolut debt scratch ,neutral
16, far day deliveri process went smoothli look fairli give away come box origin charg use purchas price feel like get deal definit better pay thousand origin box charg earbud believ i m miss appear unlock use att fine ,positive
17, time wrap in enjoy much ,positive
18, i m thank amazon offer refurbish i m spend 150 month lea payment compani famili seven kiss want keep jone horizon offer repaid plan unlimit everyth 35 that right 35 month draft card go store pay get servic paid 150 month 35 can not amazon offer refurbish phone thank amazon thank whoever refurbish phone plea take adviceswitch repaid buy pair shoe everi month save ,positive
19, got today got activ cricket perfectli thing right small black shadow bottom start next coupl day wont go away send back love ,positive
20, 62 day old bright light bottom page disappear freez amazon told seller send anoth one wait 3 month seller keep refus amazon promis talk get anoth one 4 time sinc april never buy seller amazon direct control also get hot hold charg long time wear fast ,negative
21, brand qualiti best price happi recommend wish earbud though ,positive
22, love phone 11 bought phone 11 bit nervou i v never purchas outsid store concern read mani mani review amazon found best review disappoint crackednot scratch life camera astound ador color highli recommend purchas hang get set horizon issu never simpl howev kind expect custom servic struggl twitch account anoth account though noth horizon servic ,positive
23, delay two week receiv get set horizon store last one month store told take 5 day get exasper without long trade bought never buy refurbish realli cost ,negative
24, resist get renew work well advertis in happi renew ,positive
25, son degrad matter life renew refurbish ,negative
26, pro cosmet perfect work condit protector factor save much harsher review ,positive
27, must say i m quit impress look brand satisfi far donna keep use cours hope won t need updat far i m quit impress ,positive
28, i v month start pitch freez buy warranti packag purchas anoth warranti protect packag forgot add warranti well well enough minor annoy ,positive
29, realli problem set think that problem problem it work last coupl week realli love ,positive
30, contact support appar multipl is devic set bit lame got smooth hell still can t believ got price even protector ,positive
31, problem whatsoev singl mark look brand far it work fine ,positive
32, arriv shape seem hold charg well problem suppli aftermarket charg cabl give accessori supported ratif snap anoth charg cabl problem stop abl fulli charg although mine arriv origin pack well pack bubbl wrap glass protector instal overal satisfi although don t count ,positive
33, i v day everyth seem work life 86 go whole day without charg end day usual 4550 isn t even scratch mark notic packag deliv time even charg cure product still work glad abl save money ,positive
34, knew shot dark order arriv look okay lot scratch back camera whip tri set updat latest is skin around gave option return exchang hope one sanction ,negative
35, dont dislik product dislik fact taken account one notic larg amount come account ,negative
36, love wish set headphon whatev ,positive
37, arriv time look almost except two minor blemish circle camera function perform expect without issu servic thank ,positive
38, life amaz went bed one night 25 play music help fall asleep play night 20 went 5 entir time ¤¯ come fulli unlock look nice refurbish ,positive
39, i v issu don t think need thinner thicker feel right way ,positive
40, face recognit although hope updat soon also recogn could protect mask ,neutral
41, accessori cheap made china type ,neutral
42, also box dont recommend ,negative
43, capac ,negative
44, skeptic review small scratch hard see unless realli look thing wrong work amaz life awesom camera hiccup ,positive
45, broke crackedshak unabl due use liter le month 90 day warranti dont buy ,negative
